"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar productos desde OpenCart","Compra de dos productos con usuario Guest","PENDING","2023-12-22T14:01:42.275931-05:00[America/Guayaquil]","0.0","0.06"
"Comprar productos desde OpenCart","Compra de dos productos con usuario Guest","SUCCESS","2023-12-22T14:34:31.905228-05:00[America/Guayaquil]","0.0","4.08"
